episode,n_steps,duration_s,team_total_reward,team_reward_per_step,agent_0_total,agent_1_total,agent_2_total,agent_3_total
1127,500,0.0,9.5,0.019,2.0,3.5,1.0,3.0
1128,500,0.0,8.5,0.017,1.0,4.0,0.5,3.0
1129,500,0.0,8.5,0.017,0.5,1.0,4.0,3.0
1130,500,0.0,13.0,0.026,6.0,0.5,2.5,4.0
1131,500,0.0,16.5,0.033,2.0,7.5,0.5,6.5
1132,500,0.0,12.0,0.024,1.0,4.0,3.0,4.0
1133,500,0.0,11.0,0.022,0.5,4.5,4.0,2.0
1134,500,0.0,13.0,0.026,1.5,4.5,6.0,1.0
1135,500,0.0,7.5,0.015,1.0,1.0,3.5,2.0
1136,500,0.0,13.5,0.027,2.0,2.0,7.0,2.5
1137,500,0.0,10.0,0.02,5.0,1.5,3.0,0.5
1138,500,0.0,9.0,0.018,4.5,1.5,2.0,1.0
1139,500,0.0,10.0,0.02,3.0,2.0,3.0,2.0
